Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Insurgent Teen,6/30/2023 13:41,0:04:08,,Breaking Bad: Season 2: Over (Episode 10),,Netflix Windows App - Cadmium Windows Mobile,0:46:54,0:46:54,KE (Kenya)
Insurgent Teen,6/30/2023 13:39,0:00:21,,Breaking Bad: Season 2: Over (Episode 10),,Netflix Windows App - Cadmium Windows Mobile,0:42:50,Not latest view,KE (Kenya)
Insurgent Teen,6/30/2023 12:17,0:31:35,,Breaking Bad: Season 2: Over (Episode 10),,Netflix Windows App - Cadmium Windows Mobile,0:43:02,Not latest view,KE (Kenya)
Insurgent Teen,6/30/2023 11:16,0:00:02,,Riverdale: Season 1: Chapter One: The River's Edge (Episode 1),,Netflix Windows App - Cadmium Windows Mobile,0:00:02,0:00:02,KE (Kenya)
Insurgent Teen,6/30/2023 10:48,0:00:28,Autoplayed: user action: None; ,Riverdale: Season 6 (Trailer),TRAILER,Netflix Windows App - Cadmium Windows Mobile,0:00:00,0:00:00,KE (Kenya)
Insurgent Teen,6/29/2023 23:33,0:12:45,,Breaking Bad: Season 2: Over (Episode 10),,Netflix Windows App - Cadmium Windows Mobile,0:12:47,Not latest view,KE (Kenya)
Insurgent Teen,6/29/2023 22:38,0:21:18,,White Gold: Season 1: The Widow Maker (Episode 4),,Netflix Windows App - Cadmium Windows Mobile,0:21:13,Not latest view,KE (Kenya)
Insurgent Teen,6/29/2023 22:09,0:28:25,,White Gold: Season 1: Close Encounters (Episode 3),,Netflix Windows App - Cadmium Windows Mobile,0:28:25,0:28:25,KE (Kenya)
Insurgent Teen,6/29/2023 21:40,0:28:46,,White Gold: Season 1: Sexy Rollercoaster (Episode 2),,Netflix Windows App - Cadmium Windows Mobile,0:28:46,0:28:46,KE (Kenya)
Insurgent Teen,6/29/2023 21:11,0:29:07,,White Gold: Season 1: Salesmen Are Like Vampires (Episode 1),,Netflix Windows App - Cadmium Windows Mobile,0:29:07,0:29:07,KE (Kenya)
